,0
kids,58694
company,55416
agent,9132
reservation_status,589
customer_type,589
required_car_parking_spaces,589
arrival_date_year,588
country,478
children,4
reservation_status_date,1
days_in_waiting_list,1
adr,1
total_of_special_requests,1
hotel,0
arrival_date_day_of_month,0
arrival_date_week_number,0
is_canceled,0
is_repeated_guest,0
distribution_channel,0
market_segment,0
meal,0
adults,0
babies,0
stays_in_weekend_nights,0
stays_in_week_nights,0
arrival_date_month,0
lead_time,0
booking_changes,0
deposit_type,0
previous_bookings_not_canceled,0
previous_cancellations,0
reserved_room_type,0
assigned_room_type,0
